Name	Family	FamilyNoForge	Group	Height	Width	Assigned Family	Assigned Group	Assigned Group Number	Friendly Name	Override Image	Description
WEP_PlsPhas	NRG	NRG	null	10	2	EWP	Lasers	7	Pulse Phasers		A rapid-fire version of the phaser that breaks the beam up into a handful of high-powered phaser pulses at a single targeting point. This allows the weapon to be placed in small turret mounts while retaining much of the deadly power of the phaser beam.
WEP_HCLas	NRG	NRG	HVYBEAM	5	1	EWP	Lancers	8	Heavy Combat Lasers		"A very large, fixed-mount Laser cannon designed for long range beam combat against slow moving capital ships."
WEP_Lancer	NRG	NRG	HVYBEAM	9	1	EWP	Lancers	8	Lancers		"A very large, fixed-mount phased beam weapon designed to punch right through the hulls of enemy ships."
WEP_CtngBm	NRG	NRG	HVYBEAM	13	1	EWP	Lancers	8	Cutting Beam		"A very large, fixed-mount beam weapon that fires a high-energy stream of anti-protons that cut through any solid material at very long ranges."
EWP_ROOT	NRG	NRG	null	0	1	EWP			Energy Weapons	TechTree/EnergyWeapons-tree.tga	Energy Weapons
IND_MegFrght	IND	null	null	5	1	IND	Construction	1	Mega-Freighters		The ability to build cruiser sized freighters for inter-empire trade.
IND_ModCon	IND	null	null	7	1	IND	Construction	1	Modular Construction		"This technology takes military construction doctrines and applies it to civilian ships, resulting in a 5% increase in civilian income generation. This also results in the ability to make the civilian/military hybrid Q-Ships."
IND_DSCon	IND	null	null	8	1	IND	Construction	1	Deep Space Constructors		The creation of highly specialized deep space construction ships for the building of structures beyond planetary orbit.
IND_OrbCom	IND	null	null	10	1	IND	Construction	1	Orbital Complexes		"Allows for the construction of large, special purpose space stations."
IND_SpnlMnt	IND	null	null	3	1	IND	Specialty	2	Spinal Mounts		A fixed beam mount that takes up an entire Destroyer mission module and allows a destroyer to carry a heavy beam weapon.
IND_BrdPod	IND	null	null	6	1	IND	Specialty	2	Boarding Pods		Small shuttles designed to deliver squads of soldiers to enemy ships and cut through the hulls so they can enter. Once aboard the troops will try and subdue the crew and slave the guns to their own fire control system turning the enemy ship into a immobile weapons platform.
IND_Decon	IND	null	null	8	1	IND	Specialty	2	Zero-G Deconstruction		Systems that allow starships of all sizes to be broken up for recycling while still in orbit and thus tripling the return on scrapped ships.
IND_Waldo	IND	null	null	1	1	IND	Engineering	3	Waldo Units		Remote control construction devices that allow workers to build in hostile or dangerous environments without risk. This results in lowering the construction costs for ships by 10% and a 15% increase in the industrial output of all planets.
IND_OrbFound	IND	null	null	2	1	IND	Engineering	3	Orbital Foundries		Orbital bases for the processing of metals in zero-G. Lowers the fiscal cost of ship construction by 5% and makes larger ship hulls possible.
IND_CruisCon	IND	null	null	4	1	IND	Engineering	3	Cruiser Construction		The creation of facilities and machines that allow you to construct Cruiser class ships which are approximately 3 times larger than Destroyer hulls.
IND_OrbDry	IND	null	null	6	1	IND	Engineering	3	Orbital Drydocks		Enclosed Construction Bases for the efficient building of very large ships in orbit. Reduces the construction cost of Cruisers and Dreadnoughts by 5%
IND_AtProc	IND	null	null	7	2	IND	Engineering	3	Atmospheric Processors		This technology uses focused plasma torches to break down toxic atmospheres on a gigantic scale and speeds terraforming by 40%.
IND_HvyPlat	IND	null	null	8	1	IND	Engineering	3	Heavy Platforms		Allows the mounting and use of very large construction and processing equipment on orbital platforms. Increases the production output of all planets by 10%
IND_AstMon	IND	null	null	8	3	IND	Engineering	3	Monitor Construction		Advances in both asteroid mining and deep space construction allows for the hollowing out of large asteroids to recreate some of the power and function of the ancient Morrigi Asteroid monitors. Construction of new asteroid monitors requires a construction ship and the system in which they are being built MUST have an asteroid belt.
IND_DreadCon	IND	null	null	9	1	IND	Engineering	3	Dreadnought Construction		"The creation of facilities and machines that allow the construction of the largest starship class, the Dreadnought. These massive ships are approximately 3 times larger than cruisers and pack devastating firepower."
IND_TrpSat	IND	null	null	9	2	IND	Engineering	3	Torpedo Defense Platforms		The use of reinforced orbital structures to place large torpedo systems aboard medium and heavy defence platforms.
IND_AdvDreadEng	IND	null	null	10	1	IND	Engineering	3	Advanced Dreadnought Engineering		The incorporation of complex systems into a single Dreadnought module.
IND_TrctBm	IND	null	null	9	1	IND	Gravity	4	Tractor Beam		An Electromagnetic Beam capable of locking on to another ship over a distance and holding it.
IND_GravCon	IND	null	null	10	1	IND	Gravity	4	Gravity Control		This technology allows for the creation and manipulation of artificial gravity fields. This results in a 30% increase in industrial efficiency on all worlds.
IND_SlvgTech	IND	null	null	4	1	IND	Mining	5	Salvage Technology		Small and efficient robotic disassembler and construction systems that allow a ship to salvage wrecks for metal and technology as well as repair friendly vessels.
IND_AstMine	IND	null	null	5	1	IND	Mining	5	Asteroid Mining		Systems for prospecting and retrieval of asteroids for their elements. This ability not only allows you to mine uninhibated system but is also reflected in a sizable increase in the resource base of your inhabited worlds.
IND_MsMine	IND	null	null	6	1	IND	Mining	5	Mega-Strip Mining		"Improved systems for the retrieval resources in a planetary system, particularly the increased efficiency and speed overharvesting can utilize resources from the colony surface."
IND_TrkStl	IND	null	null	3	1	IND	Materials	6	Tarkasian Living Steel		This brings eons of Tarkasian mastery of steel and armor alloys into the starship age. Giving their ships an armor quality that increases deflection chances as well as a very limited self-repair ability through the molecular re-ordering nature of Tarkasian Alloys.
IND_PlyAlloy	IND	null	null	4	2	IND	Materials	6	Polysilicate Alloys		An advanced kinetic–resistant hull material that strengthens the entire section of a ship.
IND_MagLat	IND	null	null	7	2	IND	Materials	6	MagnoCeramic Lattices		A magnetically enhanced ceramic composite material that makes hulls very resistant to kinetic attacks and greatly reinforces a sections internal structure.
IND_QrkRes	IND	null	null	8	2	IND	Materials	6	Quark Resonators		These advanced field generators send out a resonant energy wave that induces quark alignment in solids and results in a steep increase in the toughness of ship hulls.
IND_AdmAly	IND	null	null	9	2	IND	Materials	6	Adamantite Alloys		An incredibly strong neutronium laced alloy resistant to all forms of damage.
IND_RefCoat	IND	null	null	2	1	IND	Reflection	7	Reflective Coating		A subsurface layer of highly reflective ceramic to defeat incoming laser fire by causing the beams to reflect off into space
IND_ImpRfCt	IND	null	null	3	2	IND	Reflection	7	Improved Reflective Coating		A subsurface layer of highly reflective ceramic combined with a curved EM field to increase the chance of reflecting incoming laser fire.
IND_StlthArm	IND	null	null	4	1	IND	Reflection	7	Stealth Armor		An armor layer designed not as much for toughness as to reduce the energy signature of a vessel. Ships equipped with stealth armor are somewhat more fragile than other ships but can escape long range detection much more easily. Ideal for raiding vessels. 
IND_HrdElec	IND	null	null	5	2	IND	Reflection	7	Hardened Electronics		Ship construction techniques that created more substantial hardwalls against electron flow through the ships armor. This reduces the time it takes to recover from EMP weaponry as well as reducing the damage taken from emitter class weapons.
IND_ArcCon	IND	null	null	8	1	IND	Buildings	8	Arcology Construction		The ability to create huge structures than can house up a million people with many times the efficiency of normal cities. This results in a 100 million population increase to the planetary limit and an overall 15% increase in the population growth rate.
IND_HrdStrct	IND	null	null	9	1	IND	Buildings	8	Hardened Structures		"The use of armored construction materials to create industrial and population centers resistant to orbital bombardment and reduces the damage taken by industry and population by 50%. Unfortunately, the over-centralization required for this reduces industrial output by 10%."
IND_ROOT	IND	IND	null	0	1	IND			Industrial	TechTree/industrial-tree.tga	Industrial
DRV_PlsFiss	DRV	null	null	2	1	POW	Fission	1	Pulsed Fission Drive		An improvement of the fission drive that releases drive plasma in high-powered pulses.
DRV_OvrThrust	DRV	null	null	3	2	POW	Fission	1	Overthrusting		The development of the oscillation overthruster allows for the venting of drive plasmas through advanced MHD compressors for extra thrust and speed. The potential also exists for non-drive venting races to use this effect as a power amplifier.
DRV_LRFiss	DRV	null	null	4	1	POW	Fission	1	Long-range Fission Drive		"A high-velocity, high efficiency drive system used by the Hivers to push across deep space"
DRV_RecFiss	DRV	null	null	5	2	POW	Fission	1	Recombinant Fissionables		A reactor technology that allows fissionable materials to be recycled for power generation.
DRV_SmlFus	DRV	null	null	6	1	POW	Fusion Misiles	1	Small Scale Fusion Drives		"The ability to produce fusion power plants of only a few cubic meters, which leads to faster assault shuttles, bio-missiles, and drones."
DRV_IncThrst	DRV	null	null	7	1	POW	Fusion Misiles	1	Ionic Thrusters		These highly efficient thrusters use heavy elements driven to relativistic speeds for thrusting power. Increases turn thrust on all ships and missiles by 25%
DRV_McroFus	DRV	null	null	7	2	POW	Fusion Misiles	1	Micro-Fusion Drives		"Fusion power plants small enough to power missiles, increasing their speed dramatically."
DRV_Ints	DRV	null	PD	8	1	POW	Fusion Misiles	1	Interceptor Missiles		"Advancements in micro-missile tech as well as in high-speed tracking and vector calculation allows for the creation of point defense missiles capable of engaging drones, guided torpedoes and mines. Other missiles remain too hard to vector against accurately and so Interceptors will NOT engage other missile ordinance."
WEP_MWMsl	WAR	WAR	null	8	2	POW	Fusion Misiles	1	MW Missile		A large heavily armored missile that carries 6 independent mini missiles that burst out and make their own way to the target once the missile is inside Point defense Range. Requires a large turret mount.
DRV_QntCap	DRV	null	null	10	1	POW	Energy	2	Quantum Capacitors		The technology utilizes advanced quantum systems to store energy at previously unheard of levels while remaining small enough to be used in ship’s systems. The result in increased beam weapon rates of fire and stronger shields.
SLD_Magni	SLD	null	null	11	1	POW	Energy	2	Shield Magnifier		"Increased understanding of high-energy quantum effects allows for focusing much more power through shield generators, effectively doubling their strength."
DRV_Fissn	DRV	null	null	1	1	POW	Reaction	3	Fission Drive		The basic propulsion drive of all ships.
DRV_Fusn	DRV	null	null	5	1	POW	Reaction	3	Fusion		A Ship powerplant that utilizes safer and more powerful Nuclear Fusion.
DRV_AntiMat	DRV	null	null	9	1	POW	Reaction	3	Anti-Matter		The ultimate level of reactor technology using anti-matter for 100% efficiency in matter to energy conversion.
DRV_LRFusn	DRV	null	null	6	2	POW	Fusion Range	4	Long-range Fusion Drive		"A high-velocity, high efficiency fusion drive system used by the Hivers to push across deep space."
DRV_PlsmFoc	DRV	null	null	7	1	POW	Fusion Range	4	Plasma Focusing		A refinement of fusion power physics that allows for greater efficiency resulting in a small increase in range for all fusion driven ships.
DRV_Rmscps	DRV	null	null	7	2	POW	Fusion Range	4	Ramscoops		A Hiver technology that allows Hiver ships to draw fuel from interstellar hydrogen clouds. This allows them to travel indefinitely without needing to refuel.
NRG_Root	DRV	DRV	null	0	1	POW			Power Technology	TechTree/energy-tree.tga	Power Technology
SLD_Clk	SLD	null	null	7	1	SLD	Cloak	1	Cloaking		Cloak capable ships are invisible to other players in tactical and strategic movement. Cloaked ships cannot fire.
SLD_ImpClk	SLD	null	null	8	1	SLD	Cloak	1	Improved Cloaking		"Similar in effect to basic cloaking technology, however ships with advanced cloaking can fire their weapons while cloaking is engaged."
SLD_Intang	SLD	null	null	10	1	SLD	Cloak	1	Intangibility		This technology allows a ship to go out of phase with reality for a few moments which causes all enemy fire to pass harmlessly through it.
SLD_Def	SLD	null	null	3	1	SLD	Shields	2	Deflectors		A projector technology which creates an electro-magnetic field in front of a ship that has a chance of deflecting ballistic weapons and detonating tracking weapons.
SLD_MkOne	SLD	null	SHIELDS	5	1	SLD	Shields	2	Shields Mk. 1		A projector technology which creates a quantum field around an entire vessel that blocks incoming attacks but can be overloaded by too much energy in a short period of time.
SLD_MkTwo	SLD	null	SHIELDS	6	1	SLD	Shields	2	Shields Mk. 2		A projector technology which creates a stronger quantum field around an entire vessel that blocks incoming attacks that can absorb more strikes before being overloaded by too much energy in a short period of time.
SLD_MkThree	SLD	null	SHIELDS	7	1	SLD	Shields	2	Shields Mk. 3		A projector technology which creates a very strong quantum field around an entire vessel that blocks incoming high-energy attacks that can absorb a lot of incoming fire before being overloaded by too much energy in a short period of time.
SLD_MkFour	SLD	null	SHIELDS	10	1	SLD	Shields	2	Shields Mk. 4		A projector technology which creates a stronger quantum field around an entire vessel that blocks incoming attacks that can absorb a massive amount of weapons fire before being overloaded by too much energy in a short period of time.
SLD_Disr	SLD	null	null	5	1	SLD	Disruptors	3	Disruptor Shield		Creates an electro-magnetic field around the front of a ship that breaks up and dissipates any energy weapon that impacts it.
SLD_ErgAb	SLD	null	null	8	1	SLD	Energy	3	Energy Absorbers		A power transducer unit that absorbs much of the power from energy weapon impacts and shunts it towards recharging on-board energy weapons.
SLD_MesShld	SLD	null	SHIELDS	9	1	SLD	Energy	3	Meson Shields		A energy field that completely negates most energy weapons.
SLD_GrvShld	SLD	null	SHIELDS	10	1	SLD	Energy	3	Grav Shields		A field that uses a warped gravity field to protect the ship from all ballistic attacks and offensive grav fields.
SLD_Root	SLD	SLD	null	0	1	SLD			Shield Technology	TechTree/shield-tree.tga	Shield Technology
WEP_DsrptrWhp	BAL	BAL	null	4	1	TRP	Disruptor	1	Disruptor Whip		"A Zuul-only technology that runs a disruptor charge through the harpoon, shutting down all weapon systems in the section it hits on a Destroyer. Versus Cruisers it only shuts down small and medium turrets and versus Dreadnoughts only small."
WEP_Dsrptr	TRP	TRP	TORPS	2	1	TRP	Disruptor	2	Disruptor		A charged ball of electrical plasma that passes the energy along to the target on impact. Does superficial damage and has a chance of shorting out some systems of the target ship.
WEP_EmPulse	TRP	TRP	TORPS	3	1	TRP	Disruptor	2	Electro Magnetic Pulsar		A ball of electrical plasma that detonates and affects a large area with an EM pulse capable of shorting out enemy ship systems temporarily.
WEP_IntCan	NRG	NRG	null	5	1	TRP	Inertia	2	Inertial Cannon		"Deeper understanding of field physics allows the projection of contained fields that induce a temporary shift in the targets acceleration vs. inertia ratio. The result is a small reduction in the target’s speed that slowly fades over time. Multiple hits by this weapon increases the effect. While the inertial field does no contact damage per se, the stress of the inertial shift does damage the target vessel’s support structure."
WEP_PlsTrp	TRP	TRP	TORPS	5	1	TRP	Disruptor	2	Pulsar Torpedo		A guided ball of electrical plasma that is capable of shorting out enemy ship systems temporarily.
WEP_HvyIntCan	NRG	NRG	null	8	1	TRP	Inertia	2	Heavy Inertial Cannon		A heavy barrel triple pulse version of the Inertial Cannon
WEP_PhotTrp	TRP	TRP	TORPS	3	1	TRP	Torpedo	3	Photonic Torpedo		"A self-sustaining field of lased light wrapped around an em field. This is a rapid pulse, direct fire, long-range torp that cannot be shot down."
WEP_PlsmTrp	TRP	TRP	TORPS	6	1	TRP	Torpedo	3	Plasma Torpedo		A tracking sphere of high-energy plasma that gets stronger over distance as the hydrogen inside begins to reach fusion temperatures. It can be shot down and as the sphere takes more damage its own explosive force is disrupted.
WEP_FusTrp	TRP	TRP	TORPS	7	1	TRP	Torpedo	3	Fusion Torpedo		A tracking sphere of Fusing plasma that gets stronger over distance as the fusion process grows towards critical mass. It can be shot down and as the sphere takes more damage its own explosive force is disrupted.
WEP_DtFsTrp	TRP	TRP	TORPS	9	1	TRP	Torpedo	3	Detonating Fusion Torpedo		A tracking sphere of Fusing plasma that gets stronger over distance as the fusion process grows until it finally achieves critical mass and detonates in a massive explosion that damages everything in the blast area. It can be shot down and as the sphere takes more damage its own explosive force is disrupted.
WEP_GluTrp	TRP	TRP	TORPS	9	2	TRP	Entergy Torpedo	3	Gluonic Torpedo		A self-sustaining field of charged gluons contained in an EM field. Capable of penetrating Deflector shields as well as circumventing energy absorbers. 
WEP_AmTrp	TRP	TRP	TORPS	10	1	TRP	Torpedo	3	Anti-Matter Torpedo		A tracking sphere of anti-matter deuterium contained in a magnetic field that releases upon impact allowing the Anti-matter to explode. The destructive energy grows over time as the anti-matter begins the fusion process but it can be shot down and as the sphere takes more damage its own explosive force is disrupted.
WEP_DtAmTrp	TRP	TRP	TORPS	11	1	TRP	Torpedo	3	Detonating Anti-Matter Torpedo		A tracking sphere of fusing anti-matter deuterium gets stronger over distance as the fusion process grows until it finally achieves critical mass and detonates in a massive explosion that damages everything in the blast area. It can be shot down and as the sphere takes more damage its own explosive force is disrupted.
WEP_KelTrp	TRP	TRP	TORPS	11	2	TRP	Entergy Torpedo	3	Kelvinic Torpedos		Particle manipulation and field tech allows for this torpedo capable of draining a target of its molecular motion to the point of leaving it near absolute zero for a few moments. This not only causes surface stress damage to the hull of the target but also makes it more fragile and therefore it takes more damage from any kind of subsequent damage.
WEP_MesTrp	TRP	TRP	TORPS	12	2	TRP	Entergy Torpedo	3	Mesonic Torpedo		A self-perpetuating Meson field that can be launched as a long range Capable of penetrating any defense except meson shields. 
TRP_ROOT	TRP	TRP	null	0	1	TRP			Torpedo Weapons	TechTree/torpedo-tree.tga	Torpedo Weapons
WEP_NukMine	WAR	WAR	MINES	2	1	WHD	Mine	1	Nuclear Mine		A powerful Nuclear Bomb designed to track and explode close to a passing enemy ship.
WEP_FusMine	WAR	WAR	MINES	6	1	WHD	Mine	1	Fusion Mine		A powerful Fusion Bomb designed to track and explode close to a passing enemy ship.
WEP_AmMine	WAR	WAR	MINES	7	2	WHD	Mine	1	Anti-Matter Mine		A powerful Anti-Matter bomb designed to track and explode close to a passing enemy ship.
WEP_LpMine	WAR	WAR	MINES	7	1	WHD	Mine	1	Leap Mine		A mine with a high burst micro-fusion drive attached which causes the mine to shoot towards a proximity target at high speed in a straight line.
WEP_ClkMine	WAR	WAR	MINES	8	2	WHD	Mine	1	Cloaked Mine		This technology allows for a small cloak generator to be attached to a standard fusion mine rendering them invisible to visual and standard sensors. The energy drain caused by the cloaking module does reduce the active lifespan of the mine though.
WEP_GrvMine	WAR	WAR	MINES	8	1	WHD	Mine	1	Gravity Mine		"A mine using small anti-matter reaction to power a field generator that produces intense grav waves around the mine for a brief time, pulling ships and missiles toward it."
WEP_ImpMine	WAR	WAR	MINES	9	1	WHD	Mine	1	Implosion Mine		A grav mine combined with a fusion element that generates a miniature artificial sun and pulls ships into its fire.
WEP_CorMsl	WAR	WAR	null	3	1	WHD	Advanced Missile	2	Corrosive Missile		A large missile capable of dispersing a cloud of powerful molecular acid contained in mini-spheres that bind to a passing ship’s hull and eat into it causing damage over time. Requires a large turret mount.
WEP_NanMsl	WAR	WAR	null	4	1	WHD	Advanced Missile	2	Nanite Missile		A large missile capable of dispersing a large cloud of powerful nano-disassemblers that bind to a passing ship’s hull and do a large amount of erosion damage over time. Requires a large turret mount.
WEP_Nukes	WAR	WAR	null	1	1	WHD	Missile	3	Nuclear Warhead		The standard tactical nuclear warhead for missiles.
WEP_NukeWhd	WAR	WAR	null	2	1	WHD	Missile	3	Shaped Nuclear Warhead		A more powerful warhead for nuclear missiles that concentrates the radiation in a directed blast.
WEP_GmaWhd	WAR	WAR	null	3	1	WHD	Missile	3	Gamma Warhead		A powerful optimized warhead for nuclear missiles and mines
WEP_FusWhd	WAR	WAR	null	5	1	WHD	Missile	3	Fusion Warhead		A powerful Fusion warhead for missiles.
WEP_AmWhd	WAR	WAR	null	7	1	WHD	Missile	3	Anti-Matter Warhead		A very powerful Anti-Matter warhead for missiles.
WEP_HvyPMsl	WAR	WAR	null	4	1	WHD	Planet	4	Heavy Planet Missile		"A more robust and expensive version of the standard planetary defense missile. It packs a moderately larger warhead and travels somewhat slower but is much more heavily armored than the standard version. Once researched, planets can fire one Heavy Missile for every 200 million population, rounding up."
WEP_DFMsl	BAL	BAL	null	3	1	WHD	Missile Propulsion	5	DF Racks		"A large array of missile tubes mounted on a medium turret station. These unguided missiles are much smaller than the standard missile and pack a smaller warhead, though they save some space for explosive force by not using large electronic modules."
WHD_ROOT	WAR	WAR	null	0	1	WHD			Warhead Weapons	TechTree/warhead-tree.tga	Warhead Weapons
CCC_TrnsZul	XNC	XNC	null	1	1	XNC	Zuul	1	Translate Zuul		"Having encountered the Zuul race, this tech allows you to translate basic military communications from the Zuul and form Ceasefire agreements with them, though why you would want to is beyond us."
XNC_TrnsZuul2	XNC	XNC	null	3	1	XNC	Zuul	1	Interrogate Zuul		"This deeper understanding of Zuul communications and Dominance protocols allows you to interact more deeply with Zuul culture, with less risk, allowing you to form NAP/Alliance agreements with them."
XNC_DomZuul	XNC	XNC	null	6	1	XNC	Zuul	1	Dominate Zuul		This deepest understanding of Zuul communication along with very advanced artificial psionic communication equipment allows you to subvert and impress the deepest levels of Zuul culture and government. With this level of language you can create Science Missions to teach aspects of technology that would otherwise be lost to this race as well as try to force a planetary surrender in the face of overwhelming power.
XNC_SubZuul	XNC	XNC	null	7	1	XNC	Zuul	1	Subjugate Zuul		"Allows you to take full control of a Zuul culture, which not only allows new possibilities in assimilation but also allows you a chance to absorb much weaker Zuul empires into your own without firing a shot."
CCC_TrnsHum	XNC	XNC	null	1	2	XNC	Human	2	Translate English		"Having encountered the Human race, this tech allows you to translate basic military communications from them and form Ceasefire agreements. This tech also allows the Morrigi to establish trade routes with this species."
XNC_TrnsHum2	XNC	XNC	null	2	2	XNC	Human	2	Translate Latin		"This deeper understanding of this race’s common language allows you to communicate directly with all aspects of their society, and allows you to form NAP/Alliance agreements as well as establish trade routes with them."
XNC_IncHum	XNC	XNC	null	3	2	XNC	Human	2	Incorporate Human		"With deeper study, members of this species living in enclaves on your worlds can be fully incorporated into your society. This allows them to be a fully functional portion of your civilian society on any given world."
XNC_AdctHum	XNC	XNC	null	4	1	XNC	Human	2	Addict Human		"Intimate knowledge of this alien species coupled with expanding experience in bio-weapons research allows for the development of a variety of highly addictive chemical products designed specifically for the human species and to which they have very little resistance. This results in a large bonus for trade routes into Human space, and a slow decline in human production due to addiction problems as well as an increased chance of planetary surrender."
XNC_TempHum	XNC	XNC	null	4	3	XNC	Human	2	Human Temperance		This development is in response to a dependency spreading though the human portions of the empire. Temperance is social and biochemical response to negate to the effect of these dependencies entering from other empires.
XNC_TrnsHum3	XNC	XNC	null	5	2	XNC	Human	2	Translate Hanzi		This deeper understanding of this race’s highest governmental and scientific language allows you to access the deepest levels of human culture and government. With this level of language you can create Science Missions to teach aspects of technology that would otherwise be lost to this race as well as try to force a planetary surrender in the face of overwhelming power.
XNC_SubHum	XNC	XNC	null	6	2	XNC	Human	2	Subjugate Human		"Allows you to take full control of a human culture, which not only allows new possibilities in assimilation but also allows you a chance to absorb much weaker human empires into your own without firing a shot."
XNC_AccHum	XNC	XNC	null	7	1	XNC	Human	2	Accommodate Human		"Complete understanding of human physiology coupled with the social sciences allows you to integrate the life support needs of human seamlessly into your culture, thus removing the need to take into account planetary hazard ratings for them."
XNC_ProfHum	XNC	XNC	null	7	3	XNC	Human	2	Proliferate Human		This technology makes your worlds and culture more hospitable to humans and gives them the ability to spontaneously attract human civilian populations as well as increasing the overall alien population limit on all your worlds.
CCC_TrnsHvr	XNC	XNC	null	1	2	XNC	Hiver	3	Translate Ri’kap-ken		"Having encountered the Hiver race, this tech allows you to translate basic military communications from them and form Ceasefire agreements. This tech also allows the Morrigi to establish trade routes with this species."
XNC_TrnsHvr2	XNC	XNC	null	2	2	XNC	Hiver	3	Translate K’en-Ken		"This deeper understanding of this race’s common language allows you to communicate directly with all aspects of their society, and allows you to form NAP/Alliance agreements as well as establish trade routes with them."
XNC_IncHvr	XNC	XNC	null	3	2	XNC	Hiver	3	Incorporate Hiver		"With deeper study, members of this species living in enclaves on your worlds can be fully incorporated into your society. This allows them to be a fully functional portion of your civilian society on any given world."
XNC_AdctHvr	XNC	XNC	null	4	1	XNC	Hiver	3	Addict Hiver		"Intimate knowledge of this alien species coupled with expanding experience in bio-weapons research allows for the development of a variety of highly addictive chemical products designed specifically for the Hiver species and to which they have very little resistance. This results in a large bonus for trade routes into Hiver space, and a slow decline in Hiver production due to addiction problems as well as an increased chance of planetary surrender."
XNC_TempHvr	XNC	XNC	null	4	3	XNC	Hiver	3	Hiver Temperance		This development is in response to a dependency spreading though the Hiver portions of the empire. Temperance is social and biochemical response to negate to the effect of these dependencies entering from other empires.
XNC_TrnsHvr3	XNC	XNC	null	5	2	XNC	Hiver	3	Translate Tcho’to-Ken		This deeper understanding of this race’s highest governmental and scientific language allows you to access the deepest levels of Hiver culture and government. With this level of language you can create Science Missions to teach aspects of technology that would otherwise be lost to this race as well as try to force a planetary surrender in the face of overwhelming power.
XNC_SubHvr	XNC	XNC	null	6	2	XNC	Hiver	3	Subjugate Hiver		"Allows you to take full control of a Hiver culture, which not only allows new possibilities in assimilation but also allows you a chance to absorb much weaker Hiver empires into your own without firing a shot."
XNC_AccHvr	XNC	XNC	null	7	1	XNC	Hiver	3	Accommodate Hiver		"Complete understanding of Hiver physiology coupled with the social sciences allows you to integrate the life support needs of Hivers seamlessly into your culture without disrupting your own citizens, thus removing the need to take into account planetary hazard ratings for them."
XNC_ProfHvr	XNC	XNC	null	7	3	XNC	Hiver	3	Proliferate Hiver		This technology makes your worlds and culture more hospitable to Hivers and gives them the ability to spontaneously attract Hiver civilian populations as well as increasing the overall alien population limit on all your worlds.
CCC_TrnsMorr	XNC	XNC	null	1	2	XNC	Morrigi	4	Translate Trade Creole		"Allows you to translate basic communications from Morrigi players, form Ceasefire agreements and establish trade routes with them. Also provides a 15% bonus to all Xeno-culture research."
XNC_TrnsMorr2	XNC	XNC	null	2	2	XNC	Morrigi	4	Translate Female Dialect		"This deeper understanding of this race’s common language allows you to communicate directly with all aspects of their society, and allows you to form NAP/Alliance agreements as well as establish trade routes with them."
XNC_IncMorr	XNC	XNC	null	3	2	XNC	Morrigi	4	Incorporate Morrigi		"With deeper study, members of this species living in enclaves on your worlds can be fully incorporated into your society. This allows them to be a fully functional portion of your civilian society on any given world."
XNC_AdctMorr	XNC	XNC	null	4	1	XNC	Morrigi	4	Addict Morrigi		"Intimate knowledge of this alien species coupled with expanding experience in bio-weapons research allows for the development of a variety of highly addictive chemical products designed specifically for the Morrigi species and to which they have very little resistance. This results in a large bonus for trade routes into Morrigi space, and a slow decline in Morrigi production due to addiction problems as well as an increased chance of planetary surrender."
XNC_TempMorr	XNC	XNC	null	4	3	XNC	Morrigi	4	Morrigi Temperance		This development is in response to a dependency spreading though the Morrigi portions of the empire. Temperance is social and biochemical response to negate to the effect of these dependencies entering from other empires.
XNC_TrnsMorr3	XNC	XNC	null	5	2	XNC	Morrigi	4	Translate Ancient Morrigi		This deeper understanding of this race’s highest governmental and scientific language allows you to access the deepest levels of Morrigi culture and government. With this level of language you can create Science Missions to teach aspects of technology that would otherwise be lost to this race as well as try to force a planetary surrender in the face of overwhelming power. Aspects of Ancient Morrigi also allow you circumvent Colony and Asteroid Traps as well as make taking control of Asteroid Monitors much easier.
XNC_SubMorr	XNC	XNC	null	6	2	XNC	Morrigi	4	Subjugate Morrigi		"Allows you to take full control of a Morrigi culture, which not only allows new possibilities in assimilation but also allows you a chance to absorb much weaker Morrigi empires into your own without firing a shot."
XNC_AccMorr	XNC	XNC	null	7	1	XNC	Morrigi	4	Accommodate Morrigi		"Complete understanding of Morrigi physiology coupled with the social sciences allows you to integrate the life support needs of the Morrigi seamlessly into your culture without disrupting your own citizens, thus removing the need to take into account planetary hazard ratings for them."
XNC_ProfMorr	XNC	XNC	null	7	3	XNC	Morrigi	4	Proliferate Morrigi		This technology makes your worlds and culture more hospitable to Morrigi and gives them the ability to spontaneously attract Morrigi civilian populations as well as increasing the overall alien population limit on all your worlds.
CCC_TrnsLir	XNC	XNC	null	1	2	XNC	Liir	5	Translate FleetSong		"Having encountered the Liir race, this tech allows you to translate basic military communications from them and form Ceasefire agreements. This tech also allows the Morrigi to establish trade routes with this species."
XNC_TrnsLir2	XNC	XNC	null	2	2	XNC	Liir	5	Translate SteelSong		"This deeper understanding of this race’s common language allows you to communicate directly with all aspects of their society, and allows you to form NAP/Alliance agreements with them."
XNC_IncLir	XNC	XNC	null	3	2	XNC	Liir	5	Incorporate Liir		"With deeper study, members of this species living in enclaves on your worlds can be fully incorporated into your society. This allows them to be a fully functional portion of your civilian society on any given world."
XNC_AdctLir	XNC	XNC	null	4	1	XNC	Liir	5	Addict Liir		"Intimate knowledge of this alien species coupled with expanding experience in bio-weapons research allows for the development of a variety of highly addictive chemical products designed specifically for the Liir species and to which they have very little resistance. This results in a large bonus for trade routes into Liir space, and a slow decline in Liir production due to addiction problems as well as an increased chance of planetary surrender."
